# Energy_1	Intensity_1
7.861944777911164692e+02	9.332844095427172482e-05
7.862184873949579469e+02	9.355484941207368348e-05
7.862424969987995382e+02	9.378209692070415984e-05
7.862665066026410159e+02	9.401018768034797733e-05
7.862905162064826072e+02	9.423912591773004948e-05
7.863145258103240849e+02	9.446891588631845102e-05
7.863385354141656762e+02	9.469956186652872217e-05
7.863625450180071539e+02	9.493106816593066674e-05
7.863865546218487452e+02	9.516343911945641042e-05
7.864105642256902229e+02	9.539667908961079032e-05
7.864345738295318142e+02	9.563079246668345192e-05
7.864585834333734056e+02	9.586578366896270802e-05
7.864825930372148832e+02	9.610165714295176929e-05
7.865066026410564746e+02	9.633841736358642494e-05
7.865306122448979522e+02	9.657606883445506803e-05
7.865546218487395436e+02	9.681461608802056386e-05
7.865786314525810212e+02	9.705406368584408355e-05
7.866026410564226126e+02	9.729441621881126858e-05
7.866266506602640902e+02	9.753567830735992679e-05
7.866506602641056816e+02	9.777785460171042539e-05
7.866746698679471592e+02	9.802094978209762886e-05
7.866986794717887506e+02	9.826496855900542545e-05
7.867226890756302282e+02	9.850991567340313749e-05
7.867466986794718196e+02	9.875579589698412711e-05
7.867707082833132972e+02	9.900261403240655700e-05
7.867947178871548886e+02	9.925037491353672591e-05
7.868187274909963662e+02	9.949908340569405777e-05
7.868427370948379576e+02	9.974874440589877409e-05
7.868667466986794352e+02	9.999936284312177547e-05
7.868907563025210266e+02	1.002509436785368677e-04
7.869147659063625042e+02	1.005034919057750206e-04
7.869387755102040956e+02	1.007570125511814189e-04
7.869627851140455732e+02	1.010115106740748308e-04
7.869867947178871646e+02	1.012669913670088051e-04
7.870108043217286422e+02	1.015234597560364205e-04
7.870348139255702336e+02	1.017809210009761994e-04
7.870588235294117112e+02	1.020393802956817627e-04
7.870828331332533025e+02	1.022988428683129072e-04
7.871068427370948939e+02	1.025593139816099769e-04
7.871308523409363715e+02	1.028207989331706324e-04
7.871548619447779629e+02	1.030833030557288702e-04
7.871788715486194405e+02	1.033468317174372682e-04
7.872028811524610319e+02	1.036113903221513036e-04
7.872268907563025095e+02	1.038769843097167345e-04
7.872509003601441009e+02	1.041436191562596238e-04
7.872749099639855785e+02	1.044113003744789929e-04
7.872989195678271699e+02	1.046800335139422934e-04
7.873229291716686475e+02	1.049498241613839016e-04
7.873469387755102389e+02	1.052206779410058902e-04
7.873709483793517165e+02	1.054926005147825799e-04
7.873949579831933079e+02	1.057655975827669222e-04
7.874189675870347855e+02	1.060396748834005264e-04
7.874429771908763769e+02	1.063148381938266150e-04
7.874669867947178545e+02	1.065910933302056208e-04
7.874909963985594459e+02	1.068684461480341193e-04
7.875150060024009235e+02	1.071469025424664974e-04
7.875390156062425149e+02	1.074264684486402548e-04
7.875630252100839925e+02	1.077071498420038533e-04
7.875870348139255839e+02	1.079889527386481031e-04
7.876110444177670615e+02	1.082718831956404766e-04
7.876350540216086529e+02	1.085559473113631624e-04
7.876590636254501305e+02	1.088411512258533834e-04
7.876830732292917219e+02	1.091275011211485790e-04
7.877070828331331995e+02	1.094150032216331062e-04
7.877310924369747909e+02	1.097036637943898870e-04
7.877551020408163822e+02	1.099934891495543053e-04
7.877791116446578599e+02	1.102844856406727530e-04
7.878031212484994512e+02	1.105766596650633438e-04
7.878271308523409289e+02	1.108700176641810587e-04
7.878511404561825202e+02	1.111645661239862534e-04
7.878751500600239979e+02	1.114603115753168370e-04
7.878991596638655892e+02	1.117572605942637726e-04
7.879231692677070669e+02	1.120554198025507374e-04
7.879471788715486582e+02	1.123547958679171579e-04
7.879711884753901359e+02	1.126553955045053512e-04
7.879951980792317272e+02	1.129572254732510143e-04
7.880192076830732049e+02	1.132602925822780903e-04
7.880432172869147962e+02	1.135646036872974565e-04
7.880672268907562739e+02	1.138701656920090014e-04
7.880912364945978652e+02	1.141769855485086604e-04
7.881152460984393429e+02	1.144850702576986787e-04
7.881392557022809342e+02	1.147944268697022232e-04
7.881632653061224119e+02	1.151050624842823051e-04
7.881872749099640032e+02	1.154169842512649843e-04
7.882112845138054809e+02	1.157301993709660440e-04
7.882352941176470722e+02	1.160447150946229363e-04
7.882593037214885499e+02	1.163605387248305102e-04
7.882833133253301412e+02	1.166776776159812647e-04
7.883073229291716189e+02	1.169961391747097640e-04
7.883313325330132102e+02	1.173159308603422148e-04
7.883553421368546879e+02	1.176370601853498802e-04
7.883793517406962792e+02	1.179595347158069921e-04
7.884033613445378705e+02	1.182833620718546952e-04
7.884273709483793482e+02	1.186085499281674840e-04
7.884513805522209395e+02	1.189351060144264708e-04
7.884753901560624172e+02	1.192630381157959197e-04
7.884993997599040085e+02	1.195923540734058110e-04
7.885234093637454862e+02	1.199230617848384456e-04
7.885474189675870775e+02	1.202551692046203736e-04
7.885714285714285552e+02	1.205886843447198268e-04
7.885954381752701465e+02	1.209236152750483114e-04
7.886194477791116242e+02	1.212599701239679058e-04
7.886434573829532155e+02	1.215977570788040479e-04
7.886674669867946932e+02	1.219369843863629026e-04
7.886914765906362845e+02	1.222776603534547063e-04
7.887154861944777622e+02	1.226197933474220173e-04
7.887394957983193535e+02	1.229633917966739293e-04
7.887635054021608312e+02	1.233084641912254485e-04
7.887875150060024225e+02	1.236550190832423591e-04
7.888115246098439002e+02	1.240030650875925406e-04
7.888355342136854915e+02	1.243526108824020006e-04
7.888595438175269692e+02	1.247036652096172773e-04
7.888835534213685605e+02	1.250562368755737247e-04
7.889075630252100382e+02	1.254103347515697056e-04
7.889315726290516295e+02	1.257659677744465043e-04
7.889555822328931072e+02	1.261231449471747175e-04
7.889795918367346985e+02	1.264818753394467165e-04
